2026-05-16 23:08:00 | api                  | INFO     | Dosya yüklendi: ayse_nisan_2026.pdf — session: 7e7f935e
2026-05-16 23:08:02 | api                  | INFO     | Analiz başladı — session: 7e7f935e
2026-05-16 23:08:02 | workflow             | INFO     | Parser Agent başladı
2026-05-16 23:08:02 | parser_agent         | INFO     | PDF okundu: 2984 byte
2026-05-16 23:08:31 | parser_agent         | INFO     | Gemini yanıtı alındı: 2861 karakter
2026-05-16 23:08:31 | parser_agent         | INFO     | İşlemler sanitize edildi
2026-05-16 23:08:31 | parser_agent         | INFO     | 18 işlem parse edildi
2026-05-16 23:08:56 | parser_agent         | INFO     | 18 işlem Qdrant'a kaydedildi
2026-05-16 23:08:56 | workflow             | INFO     | Analyst Agent başladı
2026-05-16 23:08:56 | analyst_agent        | INFO     | Kategorilendirme başladı
2026-05-16 23:08:56 | analyst_agent        | INFO     | Enflasyon analizi başladı
2026-05-16 23:08:56 | analyst_agent        | INFO     | Vergi X-Ray hesaplanıyor
2026-05-16 23:08:56 | analyst_agent        | INFO     | Anomali tespiti başladı
2026-05-16 23:08:56 | analyst_agent        | INFO     | Abonelik tespiti başladı
2026-05-16 23:08:56 | workflow             | INFO     | Normal akış — Advisory'e geçiliyor
2026-05-16 23:08:56 | workflow             | INFO     | Advisory Agent başladı
2026-05-16 23:08:56 | advisory_agent       | INFO     | Piyasa bağlamı çekiliyor
2026-05-16 23:08:56 | context_fetcher      | INFO     | Piyasa verileri çekiliyor
2026-05-16 23:08:57 | context_fetcher      | INFO     | Döviz kurları alındı: ['USD', 'EUR', 'GBP', 'CHF', 'tarih']
2026-05-16 23:08:57 | context_fetcher      | WARNING  | NEWS_API_KEY bulunamadı, fallback haberler kullanılıyor
2026-05-16 23:08:57 | context_fetcher      | INFO     | USD/TL: 45.4695
2026-05-16 23:08:57 | context_fetcher      | INFO     | Yıllık TÜFE: %38.1
2026-05-16 23:08:57 | advisory_agent       | INFO     | Döviz kalkanı hesaplanıyor
2026-05-16 23:08:57 | advisory_agent       | INFO     | Proaktif uyarılar üretiliyor
2026-05-16 23:08:57 | advisory_agent       | INFO     | Gemini yanıtı üretiliyor
2026-05-16 23:09:08 | health_score         | INFO     | Finansal sağlık skoru: 66/100 — Orta
2026-05-16 23:09:08 | api                  | INFO     | Analiz tamamlandı — session: 7e7f935e
2026-05-16 23:11:35 | api                  | INFO     | Sorgu: Bu ay en çok neye harcadım? — session: 7e7f935e
2026-05-16 23:11:35 | context_fetcher      | INFO     | Piyasa verileri çekiliyor
2026-05-16 23:11:42 | context_fetcher      | INFO     | Döviz kurları alındı: ['USD', 'EUR', 'GBP', 'CHF', 'tarih']
2026-05-16 23:11:42 | context_fetcher      | WARNING  | NEWS_API_KEY bulunamadı, fallback haberler kullanılıyor
2026-05-16 23:11:42 | context_fetcher      | INFO     | USD/TL: 45.4695
2026-05-16 23:11:42 | context_fetcher      | INFO     | Yıllık TÜFE: %38.1
2026-05-16 23:13:33 | scenario_planner     | INFO     | Senaryo simüle edildi: 'Tatil' — 5,000 TL — etki: yüksek
2026-05-16 23:13:33 | api                  | INFO     | Senaryo simüle edildi — session: 7e7f935e
2026-05-16 23:13:44 | scenario_planner     | INFO     | Senaryo simüle edildi: 'Tatil' — 5,000 TL — etki: yüksek
2026-05-16 23:13:44 | api                  | INFO     | Senaryo simüle edildi — session: 7e7f935e
2026-05-16 23:14:31 | nlp_parser           | INFO     | NLP parse başladı: 'Bugün marketten 300 TL harcadım'
2026-05-16 23:14:42 | nlp_parser           | INFO     | NLP parse tamamlandı: Market harcaması — 300.0 TL — gida
2026-05-16 23:14:44 | nlp_parser           | INFO     | NLP işlemi Qdrant'a kaydedildi: Market harcaması
2026-05-16 23:26:31 | api                  | INFO     | Dosya yüklendi: ayse_nisan_2026.pdf — session: 52ed103c
2026-05-16 23:26:34 | api                  | INFO     | Analiz başladı — session: 52ed103c
2026-05-16 23:26:34 | workflow             | INFO     | Parser Agent başladı
2026-05-16 23:26:34 | parser_agent         | INFO     | PDF okundu: 2984 byte
2026-05-16 23:27:01 | parser_agent         | INFO     | Gemini yanıtı alındı: 2833 karakter
2026-05-16 23:27:01 | parser_agent         | INFO     | İşlemler sanitize edildi
2026-05-16 23:27:01 | parser_agent         | INFO     | 18 işlem parse edildi
